DATE,ASPS
2000-01-01,176400
2000-04-01,174700
2000-07-01,179200
2000-10-01,176300
2001-01-01,185000
2001-04-01,182400
2001-07-01,180600
2001-10-01,184600
2002-01-01,192400
2002-04-01,199200
2002-07-01,185600
2002-10-01,202900
2003-01-01,202800
2003-04-01,205600
2003-07-01,204200
2003-10-01,210900
2004-01-01,221800
2004-04-01,214900
2004-07-01,229800
2004-10-01,239500
2005-01-01,242500
2005-04-01,236600
2005-07-01,241600
2005-10-01,240300
2006-01-01,258500
2006-04-01,250700
2006-07-01,256200
2006-10-01,251100
2007-01-01,271200
2007-04-01,264000
2007-07-01,256500
2007-10-01,271300
2008-01-01,248500
2008-04-01,268100
2008-07-01,249200
2008-10-01,234500
2009-01-01,234500
2009-04-01,243500
2009-07-01,243800
2009-10-01,232900
2010-01-01,235500
2010-04-01,233700
2010-07-01,243200
2010-10-01,261100
2011-01-01,251600
2011-04-01,244200
2011-07-01,247500
2011-10-01,236100
2012-01-01,254600
2012-04-01,253000
2012-07-01,269400
2012-10-01,275800
2013-01-01,273100
2013-04-01,295100
2013-07-01,292600
2013-10-01,292100
2014-01-01,297100
2014-04-01,310200
2014-07-01,297100
2014-10-01,332500
2015-01-01,309000
2015-04-01,306300
2015-07-01,312200
2015-10-01,324200
2016-01-01,330300
2016-04-01,314400
2016-07-01,315700
2016-10-01,325200
2017-01-01,327200
2017-04-01,336100
2017-07-01,334000.0
2017-10-01,340400.0
2018-01-01,329900.0
2018-04-01,327200.0
2018-07-01,347800.0
2018-10-01,334100.0
2019-01-01,330300.0
2019-04-01,334500.0
2019-07-01,332500.0
2019-10-01,340700.0
2020-01-01,325300.0
2020-04-01,327000.0
2020-07-01,349600.0
2020-10-01,367100.0
2021-01-01,369200.0
2021-04-01,391000.0
2021-07-01,418300.0
2021-10-01,451800.0
2022-01-01,451000.0
2022-04-01,482000.0
2022-07-01,493000.0
2022-10-01,482800.0
